,s,a,q
0,"(0, 0)",left,-0.03270353770021833
1,"(0, 0)",right,0.37734552094607393
2,"(0, 0)",up,-0.046855900000000006
3,"(0, 0)",down,0.0
4,"(0, 1)",left,-0.027100000000000006
5,"(0, 1)",right,-0.19
6,"(0, 1)",up,0.0
7,"(0, 1)",down,0.0
8,"(0, 2)",left,-0.019000000000000003
9,"(0, 2)",right,-0.19
10,"(0, 2)",up,0.0
11,"(0, 2)",down,0.0
12,"(0, 3)",left,-0.034390000000000004
13,"(0, 3)",right,5.904900000000003e-07
14,"(0, 3)",up,0.0
15,"(0, 3)",down,-0.019000000000000003
16,"(1, 0)",left,0.02342403453091171
17,"(1, 0)",right,0.48455962253873064
18,"(1, 0)",up,0.021545429696408297
19,"(1, 0)",down,-0.271
20,"(1, 1)",left,0.0
21,"(1, 1)",right,0.0
22,"(1, 1)",up,0.0
23,"(1, 1)",down,0.0
24,"(1, 2)",left,0.0
25,"(1, 2)",right,0.0
26,"(1, 2)",up,0.0
27,"(1, 2)",down,0.0
28,"(1, 3)",left,0.0
29,"(1, 3)",right,3.608550000000002e-05
30,"(1, 3)",up,-0.19
31,"(1, 3)",down,-0.010000000000000002
32,"(2, 0)",left,0.0
33,"(2, 0)",right,0.5947903032791066
34,"(2, 0)",up,0.08285049018076548
35,"(2, 0)",down,-0.271
36,"(2, 1)",left,0.0
37,"(2, 1)",right,0.0
38,"(2, 1)",up,0.0
39,"(2, 1)",down,0.0
40,"(2, 2)",left,-0.1
41,"(2, 2)",right,0.12397021987453066
42,"(2, 2)",up,-0.1
43,"(2, 2)",down,8.332470000000004e-05
44,"(2, 3)",left,0.0
45,"(2, 3)",right,-0.1
46,"(2, 3)",up,0.0014572710000000004
47,"(2, 3)",down,-0.027100000000000006
48,"(3, 0)",left,0.08244991200060171
49,"(3, 0)",right,0.0015408116293033972
50,"(3, 0)",up,0.043775007824308536
51,"(3, 0)",down,0.696533547301357
52,"(3, 1)",left,-0.271
53,"(3, 1)",right,-0.34390000000000004
54,"(3, 1)",up,0.1423294388085387
55,"(3, 1)",down,0.7963447684451082
56,"(3, 2)",left,0.005002351123015419
57,"(3, 2)",right,0.8958089927015358
58,"(3, 2)",up,0.1198210649754187
59,"(3, 2)",down,-0.34390000000000004
60,"(3, 3)",left,0.0
61,"(3, 3)",right,0.0
62,"(3, 3)",up,0.0
63,"(3, 3)",down,0.0
64,"(4, 0)",left,0.07153803647318983
65,"(4, 0)",right,-0.010000000000000002
66,"(4, 0)",up,-0.010000000000000002
67,"(4, 0)",down,-0.1
68,"(4, 1)",left,0.0
69,"(4, 1)",right,0.0
70,"(4, 1)",up,0.0
71,"(4, 1)",down,0.0
72,"(4, 2)",left,0.1116839612283386
73,"(4, 2)",right,0.19755787643373773
74,"(4, 2)",up,-0.271
75,"(4, 2)",down,0.9993734212517822
76,"(4, 3)",left,0.0
77,"(4, 3)",right,0.0
78,"(4, 3)",up,0.0
79,"(4, 3)",down,0.0
