,s,a,q
0,"(0, 0)",left,0.021553757860770777
1,"(0, 0)",right,0.3349882051652505
2,"(0, 0)",up,0.005725652322878288
3,"(0, 0)",down,0.005947548028360176
4,"(0, 1)",left,-0.019000000000000003
5,"(0, 1)",right,-0.19
6,"(0, 1)",up,0.09044657702961648
7,"(0, 1)",down,-0.009000000000000001
8,"(0, 2)",left,-0.010000000000000002
9,"(0, 2)",right,-0.19
10,"(0, 2)",up,0.0
11,"(0, 2)",down,0.0
12,"(0, 3)",left,-0.010000000000000002
13,"(0, 3)",right,0.0
14,"(0, 3)",up,0.0
15,"(0, 3)",down,-0.019000000000000003
16,"(1, 0)",left,0.049672012690440345
17,"(1, 0)",right,0.33101695545725174
18,"(1, 0)",up,0.06646961655205509
19,"(1, 0)",down,-0.271
20,"(1, 1)",left,0.0
21,"(1, 1)",right,0.0
22,"(1, 1)",up,0.0
23,"(1, 1)",down,0.0
24,"(1, 2)",left,0.0
25,"(1, 2)",right,0.0
26,"(1, 2)",up,0.0
27,"(1, 2)",down,0.0
28,"(1, 3)",left,0.0
29,"(1, 3)",right,0.0
30,"(1, 3)",up,-0.1
31,"(1, 3)",down,0.0
32,"(2, 0)",left,0.0975064016399731
33,"(2, 0)",right,0.5185729100100859
34,"(2, 0)",up,0.11821696655538522
35,"(2, 0)",down,-0.40951000000000004
36,"(2, 1)",left,0.0
37,"(2, 1)",right,0.0
38,"(2, 1)",up,0.0
39,"(2, 1)",down,0.0
40,"(2, 2)",left,-0.19
41,"(2, 2)",right,0.165036437267369
42,"(2, 2)",up,-0.1
43,"(2, 2)",down,0.0
44,"(2, 3)",left,0.0
45,"(2, 3)",right,0.0
46,"(2, 3)",up,0.0
47,"(2, 3)",down,-0.010000000000000002
48,"(3, 0)",left,0.06532593310024903
49,"(3, 0)",right,0.014177893263372536
50,"(3, 0)",up,0.03201902701418504
51,"(3, 0)",down,0.6070948340978429
52,"(3, 1)",left,-0.34390000000000004
53,"(3, 1)",right,-0.34390000000000004
54,"(3, 1)",up,0.10201894717500071
55,"(3, 1)",down,0.7330329269472189
56,"(3, 2)",left,0.00536257561549478
57,"(3, 2)",right,0.8979904853901584
58,"(3, 2)",up,0.2951192835532614
59,"(3, 2)",down,-0.34390000000000004
60,"(3, 3)",left,0.0
61,"(3, 3)",right,0.0
62,"(3, 3)",up,0.0
63,"(3, 3)",down,0.0
64,"(4, 0)",left,0.20747476732239353
65,"(4, 0)",right,-0.03480098829619207
66,"(4, 0)",up,-0.027100000000000006
67,"(4, 0)",down,-0.34390000000000004
68,"(4, 1)",left,0.0
69,"(4, 1)",right,0.0
70,"(4, 1)",up,0.0
71,"(4, 1)",down,0.0
72,"(4, 2)",left,0.13247594362719153
73,"(4, 2)",right,0.2652700142427316
74,"(4, 2)",up,-0.5217031000000001
75,"(4, 2)",down,0.9999999570420033
76,"(4, 3)",left,0.0
77,"(4, 3)",right,0.0
78,"(4, 3)",up,0.0
79,"(4, 3)",down,0.0
