,s,a,q,elig
0,"(0, 0)",left,-0.36574808123364055,0.0
1,"(0, 0)",right,0.2441448803524214,0.22876792454961015
2,"(0, 0)",up,-0.23942950433810217,0.0
3,"(0, 0)",down,-0.24407192775931183,0.0
4,"(0, 1)",left,-0.4097775752525844,0.0
5,"(0, 1)",right,-0.9202335569231275,0.0
6,"(0, 1)",up,-0.18755942191247438,0.0
7,"(0, 1)",down,-0.43037739992056767,0.0
8,"(0, 2)",left,-0.4065878749382064,0.0
9,"(0, 2)",right,-0.7458134171671,0.0
10,"(0, 2)",up,-0.4426067748453915,0.0
11,"(0, 2)",down,-0.39823517982328505,0.0
12,"(0, 3)",left,-0.3555919169256396,0.0
13,"(0, 3)",right,-0.41807749851451953,0.0
14,"(0, 3)",up,-0.4430022980494468,0.0
15,"(0, 3)",down,-0.3906638674481409,0.0
16,"(1, 0)",left,-0.3039104308208745,0.0
17,"(1, 0)",right,0.35271399601549647,0.28242953648100017
18,"(1, 0)",up,-0.3162574087727931,0.0
19,"(1, 0)",down,-0.9721871610556306,0.0
20,"(1, 1)",left,0.0,0.0
21,"(1, 1)",right,0.0,0.0
22,"(1, 1)",up,0.0,0.0
23,"(1, 1)",down,0.0,0.0
24,"(1, 2)",left,0.0,0.0
25,"(1, 2)",right,0.0,0.0
26,"(1, 2)",up,0.0,0.0
27,"(1, 2)",down,0.0,0.0
28,"(1, 3)",left,-0.296203923274824,0.0
29,"(1, 3)",right,-0.3150577455221407,0.0
30,"(1, 3)",up,-0.34390000000000004,0.0
31,"(1, 3)",down,-0.39585394152791753,0.0
32,"(2, 0)",left,-0.2079203749892786,0.0
33,"(2, 0)",right,0.41029224329404396,0.34867844010000015
34,"(2, 0)",up,-0.24819059661208495,0.0
35,"(2, 0)",down,-0.8784233454094308,0.0
36,"(2, 1)",left,0.0,0.0
37,"(2, 1)",right,0.0,0.0
38,"(2, 1)",up,0.0,0.0
39,"(2, 1)",down,0.0,0.0
40,"(2, 2)",left,-0.1,0.0
41,"(2, 2)",right,-0.21521273698239257,0.0
42,"(2, 2)",up,-0.19,0.0
43,"(2, 2)",down,-0.16938980046321106,0.0
44,"(2, 3)",left,-0.15400966670876973,0.0
45,"(2, 3)",right,-0.34390000000000004,0.0
46,"(2, 3)",up,-0.18382141202638033,0.0
47,"(2, 3)",down,-0.14255713124334368,0.0
48,"(3, 0)",left,-0.24008958064044855,0.0
49,"(3, 0)",right,-0.22142699005460373,0.0
50,"(3, 0)",up,-0.12619720027482317,0.0
51,"(3, 0)",down,0.4951379733542986,0.43046721000000016
52,"(3, 1)",left,-0.5217031000000001,0.0
53,"(3, 1)",right,-0.5217031000000001,0.0
54,"(3, 1)",up,-0.24856807405486087,0.0
55,"(3, 1)",down,0.5813057257478053,0.5314410000000002
56,"(3, 2)",left,-0.30295948409859585,0.0
57,"(3, 2)",right,0.6744024463226161,0.6561000000000001
58,"(3, 2)",up,-0.0317191078699212,0.0
59,"(3, 2)",down,-0.271,0.0
60,"(3, 3)",left,0.0,0.0
61,"(3, 3)",right,0.0,0.0
62,"(3, 3)",up,0.0,0.0
63,"(3, 3)",down,0.0,0.0
64,"(4, 0)",left,-0.10149940341438209,0.0
65,"(4, 0)",right,-0.32820934719825856,0.0
66,"(4, 0)",up,-0.43632849567750354,0.0
67,"(4, 0)",down,-0.5695327900000001,0.0
68,"(4, 1)",left,0.0,0.0
69,"(4, 1)",right,0.0,0.0
70,"(4, 1)",up,0.0,0.0
71,"(4, 1)",down,0.0,0.0
72,"(4, 2)",left,0.1393458634900574,0.0
73,"(4, 2)",right,0.15191371278778576,0.0
74,"(4, 2)",up,-0.34390000000000004,0.0
75,"(4, 2)",down,0.9993038013908692,0.81
76,"(4, 3)",left,0.0,0.0
77,"(4, 3)",right,0.0,0.0
78,"(4, 3)",up,0.0,0.0
79,"(4, 3)",down,0.0,0.0
